yr,year,nor.female.chinook,hatc.female.chinook,total.chin.female,adult.chinook,year,n,chinook.n,juv.chinook.m2,stdev,stderr,l95,u95,adult.coho,no.female.coho,year,n,coho.n,mean.coho.m2,stdev,stderr,l95,u95,n,mean.mwf.m2,stdev,stderr,l95,u95,coho.occ,chin.occ,year,spring.skew.flow,spring.max.flow,winter.max.flo,summer.max,spring.90th,winter.90th,winter.cv.flow,spring.cv.flow,%d.summ.max.15
2013,11,64,20,84,262,2014,102,26,0.001126,0.005999,0.00059,-0.0001,0.0023,1704,698.64,2014,102,6210,0.331517,0.67415,0.06675,0.1991,0.46393,102,0.00369,0.012348,0.00122,0.0013,0.00612,0.8,0.1,2013-14,1.1,83,42,73,0,5,30,43,18
2014,12,15,10,25,199,2015,130,0,0,0,0,0,0,825,338.25,2015,130,4256,0.373281,0.58084,0.05094,0.27249,0.47407,130,0.0039,0.012149,0.00107,0.0018,0.00601,0.65,0,2014-15,1,19,54,93,0,22,28,18,57
2015,13,46,37,83,258,2016,149,3,0.000026,0.000275,0.00002,0,0.00007,1370,561.7,2016,149,7729,0.371394,0.8753,0.07171,0.22969,0.5131,149,0.002659,0.012669,0.00104,0.0006,0.00471,0.78,0.013,2015-16,2.1,52,92,73,0,26,54,54,13
2016,14,21,9,30,221,2017,165,49,0.000895,0.004568,0.00036,0.0002,0.0016,1291,529.31,2017,165,13040,0.504054,0.8095,0.06302,0.37962,0.62849,165,0.003997,0.018385,0.00143,0.0012,0.00682,0.88,0.1,2016-17,0.3,28,27,82,4,0,38,93,15
2017,15,30,20,50,178,2018,146,1,0.00002,0.000246,0.00002,0,0.00006,487,199.67,2018,146,7695,0.386094,0.912,0.07548,0.23691,0.53527,146,0.005024,0.015674,0.0013,0.0025,0.00759,0.74,0.01,2017-18,0.8,27,28,77,0,0,94,57,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
