cal.year,r.statistic,year
2004,0.36,1
2005,0.31,2
2006,0.38,3
2007,0.42,4
2008,0.7,5
2009,0.57,6
2010,0.61,7
2011,0.64,8
2012,0.71,9
2013,0.86,10
2014,0.85,11
2015,0.85,12
2016,0.82,13
2017,0.86,14
2018,0.83,15
